Year,Country,Value
2008,Slovenia,0.317
2009,Slovenia,0.311
2012,Slovenia,0.469
2000,Spain,0.502
2005,Spain,0.49
2010,Spain,0.53
2005,Latvia,0.559
2006,Latvia,0.559
2007,Latvia,0.539
2008,Latvia,0.401
2009,Latvia,0.466
2010,Latvia,0.539
2011,Latvia,0.563
2012,Latvia,0.538
2013,Latvia,0.523
2014,Latvia,0.55
2015,Latvia,0.541
2016,Latvia,0.555
2017,Latvia,0.57
2007,Lithuania,0.706
2008,Lithuania,0.701
2009,Lithuania,0.66
2010,Lithuania,0.602
2011,Lithuania,0.566
2012,Lithuania,0.552
2013,Lithuania,0.546
2014,Lithuania,0.565
2015,Lithuania,0.568
2016,Lithuania,0.601
2017,Lithuania,0.591
