Year,Country,Carbon Monoxide,Nitrogen Oxides
2000,Czech Republic,1074.659,279.839
2001,Czech Republic,1058.399,283.859
2002,Czech Republic,1018.176,277.881
2003,Czech Republic,1033.116,279.781
2004,Czech Republic,1020.585,280.454
2005,Czech Republic,934.463,275.891
2006,Czech Republic,939.082,270.914
2007,Czech Republic,938.758,268.718
2008,Czech Republic,885.632,252.543
2009,Czech Republic,903.316,238.097
2010,Czech Republic,926.715,231.877
2011,Czech Republic,896.528,219.508
2012,Czech Republic,882.706,206.098
2013,Czech Republic,883.089,190.571
2014,Czech Republic,843.176,184.022
2015,Czech Republic,825.654,175.843
2016,Czech Republic,820.002,166.475
2017,Czech Republic,818.982,162.64
2000,Denmark,464.718,226.755
2001,Denmark,454.859,224.071
2002,Denmark,431.66,221.176
2003,Denmark,433.753,229.597
2004,Denmark,416.951,213.464
2005,Denmark,417.581,204.896
2006,Denmark,404.916,204.294
2007,Denmark,407.67,189.881
2008,Denmark,386.144,173.55
2009,Denmark,353.504,154.567
2010,Denmark,345.822,149.462
2011,Denmark,304.398,140.032
2012,Denmark,286.673,129.067
2013,Denmark,272.656,124.27
2014,Denmark,249.073,114.955
2015,Denmark,253.252,113.604
2016,Denmark,243.284,113.819
2017,Denmark,240.575,110.974
2000,Finland,545.287,235.609
2001,Finland,545.12,238.84
2002,Finland,530.99,235.416
2003,Finland,510.772,243.451
2004,Finland,492.434,229.833
2005,Finland,465.752,200.859
2006,Finland,454.661,216.934
2007,Finland,437.077,205.446
2008,Finland,414.967,188.702
2009,Finland,394.881,171.892
2010,Finland,406.275,180.894
2011,Finland,368.838,164.926
2012,Finland,364.883,156.023
2013,Finland,350.923,152.224
2014,Finland,345.303,144.414
2015,Finland,328.708,133.378
2016,Finland,334.943,128.925
2017,Finland,326.117,124.907
2000,France,6501.545,1619.606
2001,France,6141.225,1582.651
2002,France,5921.653,1545.867
2003,France,5630.348,1500.869
2004,France,5731.04,1464.49
2005,France,5235.573,1418.6
2006,France,4656.761,1334.438
2007,France,4491.071,1272.448
2008,France,4276.554,1176.082
2009,France,3811.713,1093.515
2010,France,4206.152,1075.459
2011,France,3530.502,1017.653
2012,France,3189.599,989.276
2013,France,3253.64,978.221
2014,France,2726.582,906.473
2015,France,2683.175,881.429
2016,France,2733.047,840.172
2017,France,2689.949,804.792
2000,Germany,4830.899,1946.978
2001,Germany,4655.124,1869.318
2002,Germany,4379.838,1793.581
2003,Germany,4199.604,1736.951
2004,Germany,3961.349,1658.478
2005,Germany,3753.185,1583.865
2006,Germany,3656.683,1573.25
2007,Germany,3540.351,1503.64
2008,Germany,3430.937,1428.586
2009,Germany,2980.514,1330.579
2010,Germany,3346.693,1355.209
2011,Germany,3259.001,1338.304
2012,Germany,2887.227,1305.106
2013,Germany,2858.665,1306.798
2014,Germany,2757.421,1270.846
2015,Germany,2864.302,1247.202
2016,Germany,2801.678,1221.375
2017,Germany,2828.186,1184.388
2000,Greece,878.802,429.613
2001,Greece,878.298,456.854
2002,Greece,816.803,450.86
2003,Greece,779.044,460.654
2004,Greece,772.743,465.226
2005,Greece,717.751,482.817
2006,Greece,739.132,486.195
2007,Greece,673.391,483.865
2008,Greece,630.583,456.858
2009,Greece,575.872,440.84
2010,Greece,521.983,365.511
2011,Greece,477.426,327.481
2012,Greece,504.007,287.674
2013,Greece,417.793,273.561
2014,Greece,417.175,269.402
2015,Greece,396.888,264.389
2016,Greece,352.021,264.175
2017,Greece,366.497,269.762
2000,Hungary,829.458,184.916
2001,Hungary,839.001,184.92
2002,Hungary,691.076,177.213
2003,Hungary,816.641,180.79
2004,Hungary,749.819,178.65
2005,Hungary,681.731,175.867
2006,Hungary,581.683,168.156
2007,Hungary,539.222,164.213
2008,Hungary,480.371,158.577
2009,Hungary,521.197,147.542
2010,Hungary,523.145,144.442
2011,Hungary,530.088,134.628
2012,Hungary,545.515,126.732
2013,Hungary,537.817,124.298
2014,Hungary,460.125,122.137
2015,Hungary,444.916,123.954
2016,Hungary,436.43,116.407
2017,Hungary,422.376,118.753
2000,Iceland,64.172,33.153
2001,Iceland,62.392,29.594
2002,Iceland,61.835,31.733
2003,Iceland,60.476,31.113
2004,Iceland,60.847,32.061
2005,Iceland,60.612,28.608
2006,Iceland,66.738,28.275
2007,Iceland,78.84,30.922
2008,Iceland,117.756,28.474
2009,Iceland,118.858,28.288
2010,Iceland,117.105,26.704
2011,Iceland,114.238,24.178
2012,Iceland,115.234,24.111
2013,Iceland,116.61,23.228
2014,Iceland,123.592,23.077
2015,Iceland,118.405,23.61
2016,Iceland,117.312,21.541
2017,Iceland,121.283,21.967
2000,Ireland,245.362,175.7
2001,Ireland,241.164,174.475
2002,Ireland,229.509,166.969
2003,Ireland,220.095,166.284
2004,Ireland,215.52,167.529
2005,Ireland,214.004,169.51
2006,Ireland,196.869,164.633
2007,Ireland,183.827,160.784
2008,Ireland,176.072,146.462
2009,Ireland,154.938,122.424
2010,Ireland,141.744,116.388
2011,Ireland,130.469,104.262
2012,Ireland,123.541,106.95
2013,Ireland,116.693,108.235
2014,Ireland,110.037,108.245
2015,Ireland,107.125,110.537
2016,Ireland,100.832,111.05
2017,Ireland,87.3,109.009
2000,Italy,4897.357,1493.227
2001,Italy,4574.168,1463.269
2002,Italy,3986.26,1404.715
2003,Italy,4038.307,1386.559
2004,Italy,3477.506,1340.592
2005,Italy,3509.746,1285.277
2006,Italy,3362.69,1215.729
2007,Italy,3423.155,1160.124
2008,Italy,3548.621,1074.524
2009,Italy,3154.986,990.262
2010,Italy,3121.114,972.674
2011,Italy,2478.159,934.906
2012,Italy,2704.452,876.061
2013,Italy,2535.311,822.062
2014,Italy,2298.637,804.088
2015,Italy,2343.015,778.306
2016,Italy,2268.535,754.274
2017,Italy,2330.483,712.143
2000,Japan,3764.849,2040.445
2001,Japan,3574.313,2019.558
2002,Japan,3446.023,2066.797
2003,Japan,3374.533,2047.673
2004,Japan,3277.34,1978.302
2005,Japan,2956.422,1953.54
2006,Japan,2961.916,1869.755
2007,Japan,2954.187,1780.022
2008,Japan,2758.525,1646.318
2009,Japan,2662.447,1558.757
2010,Japan,3295.483,1562.231
2011,Japan,2726.727,1498.967
2012,Japan,2807.362,1452.81
2013,Japan,2724.875,1394.168
2014,Japan,2626.108,1339.152
2015,Japan,2510.936,1302.196
2016,Japan,2783.233,1421.702
2017,Japan,2656.052,1378.43
2000,Korea,900.569,1122.844
2001,Korea,845.076,1219.02
2002,Korea,822.767,1242.265
2003,Korea,805.414,1362.141
2004,Korea,816.954,1377.526
2005,Korea,788.917,1306.724
2006,Korea,829.938,1274.969
2007,Korea,801.992,1187.76
2008,Korea,696.13,1044.925
2009,Korea,810.246,1014.133
2010,Korea,759.624,1061.051
2011,Korea,710.284,1040.017
2012,Korea,697.054,1075.052
2013,Korea,689.817,1090.449
2014,Korea,587.995,1135.59
2015,Korea,714.939,1154.829
2016,Korea,718.277,1245.434
2000,Luxembourg,42.635,41.086
2001,Luxembourg,44.222,42.505
2002,Luxembourg,41.246,42.603
2003,Luxembourg,40.281,45.134
2004,Luxembourg,42.534,53.678
2005,Luxembourg,38.157,54.667
2006,Luxembourg,35.602,48.388
2007,Luxembourg,39.137,42.886
2008,Luxembourg,33.449,38.735
2009,Luxembourg,29.707,33.783
2010,Luxembourg,28.581,33.763
2011,Luxembourg,26.214,33.779
2012,Luxembourg,26.806,30.97
2013,Luxembourg,26.181,27.503
2014,Luxembourg,24.667,25.539
2015,Luxembourg,20.711,22.386
2016,Luxembourg,21.613,20.348
2017,Luxembourg,21.899,18.312
2005,Mexico,41974.989,2784.421
2008,Mexico,33036.104,3206.888
2016,Mexico,8243,1907
2000,Netherlands,753.18,445.123
2001,Netherlands,751.116,432.39
2002,Netherlands,742.147,416.559
2003,Netherlands,736.356,411.646
2004,Netherlands,746.32,398.414
2005,Netherlands,727.211,389.904
2006,Netherlands,738.466,381.936
2007,Netherlands,726.018,363.178
2008,Netherlands,730.559,354.7
2009,Netherlands,680.21,323.909
2010,Netherlands,677.797,317.526
2011,Netherlands,652.687,301.14
2012,Netherlands,619.726,284.382
2013,Netherlands,590.191,275.429
2014,Netherlands,566.438,255.072
2015,Netherlands,568.32,255.102
2016,Netherlands,556.632,240.894
2017,Netherlands,556.482,233.944
2000,New Zealand,678.687,145.006
2001,New Zealand,684.31,152.095
2002,New Zealand,704.296,155.443
2003,New Zealand,721.146,163.028
2004,New Zealand,740.161,157.447
2005,New Zealand,732.83,165.901
2006,New Zealand,733.651,165.243
2007,New Zealand,747.22,161.523
2008,New Zealand,726.735,164.192
2009,New Zealand,710.883,154.193
2010,New Zealand,724.767,153.839
2011,New Zealand,712.584,153.58
2012,New Zealand,706.179,161.431
2013,New Zealand,702.767,161.861
2014,New Zealand,702.683,162.421
2015,New Zealand,713.569,163.236
2016,New Zealand,729.77,157.256
2017,New Zealand,746.044,167.557
2000,Norway,681.923,223.141
2001,Norway,665.562,221.065
2002,Norway,657.295,216.24
2003,Norway,634.833,216.584
2004,Norway,605.675,214.229
2005,Norway,608.849,216.942
2006,Norway,585.818,215.551
2007,Norway,570.153,216.874
2008,Norway,556.574,210.113
2009,Norway,507.622,200.597
2010,Norway,519.169,205.466
2011,Norway,491.75,206.466
2012,Norway,483.903,202.369
2013,Norway,451.957,195.101
2014,Norway,432.147,187.886
2015,Norway,436.671,177.596
2016,Norway,432.787,169.255
2017,Norway,435.738,161.872
2000,Poland,3358.776,851.548
2001,Poland,3200.774,828.546
2002,Poland,3198.693,797.39
2003,Poland,3090.045,818.168
2004,Poland,3092.973,839.463
2005,Poland,3092.588,869.159
2006,Poland,3231.635,889.869
2007,Poland,2999.693,892.319
2008,Poland,3011.903,862.476
2009,Poland,2943.046,855.815
2010,Poland,3081.577,887.335
2011,Poland,2786.88,871.154
2012,Poland,2792.844,835.483
2013,Poland,2661.84,795.262
2014,Poland,2391.97,745.963
2015,Poland,2346.914,724.516
2016,Poland,2460.742,741.342
2017,Poland,2547.502,802.568
2000,Portugal,703.697,304.141
2001,Portugal,640.657,301.114
2002,Portugal,618.108,308.009
2003,Portugal,594.895,282.739
2004,Portugal,566.032,285.185
2005,Portugal,532.744,293.027
2006,Portugal,500.229,266.219
2007,Portugal,475.011,255.366
2008,Portugal,436.62,236.146
2009,Portugal,413.739,223.887
2010,Portugal,412.121,204.843
2011,Portugal,383.51,187.346
2012,Portugal,371.36,173.693
2013,Portugal,352.549,170.523
2014,Portugal,336.567,167.715
2015,Portugal,345.344,171.191
2016,Portugal,333.933,164.899
2017,Portugal,352.016,167.96
2000,Slovak Republic,546.297,107.067
2001,Slovak Republic,562.778,108.037
2002,Slovak Republic,483.108,101.949
2003,Slovak Republic,509.419,99.923
2004,Slovak Republic,513.652,99.8
2005,Slovak Republic,556.726,103.252
2006,Slovak Republic,509.908,96.499
2007,Slovak Republic,506.127,95.96
2008,Slovak Republic,469.617,95.72
2009,Slovak Republic,412.33,86.896
2010,Slovak Republic,451.515,84.998
2011,Slovak Republic,419.775,77.375
2012,Slovak Republic,427.567,75.141
2013,Slovak Republic,398.891,72.943
2014,Slovak Republic,358.636,72.612
2015,Slovak Republic,370.222,72.301
2016,Slovak Republic,376.719,66.14
2017,Slovak Republic,364.893,65.105
2000,Spain,2304.284,1360.918
2001,Spain,2110.238,1329.818
2002,Spain,2000.176,1365.732
2003,Spain,1899.881,1356.529
2004,Spain,1847.599,1389.453
2005,Spain,1763.423,1370.116
2006,Spain,1644.235,1321.916
2007,Spain,1611.237,1312.909
2008,Spain,1504.957,1104.54
2009,Spain,1358.372,983.403
2010,Spain,1425.823,926.36
2011,Spain,1386.197,908.586
2012,Spain,1320.67,873.882
2013,Spain,1301.051,758.782
2014,Spain,1314.277,775.513
2015,Spain,1299.182,778.44
2016,Spain,1293.049,743.066
2017,Spain,1310.112,740.899
2000,Sweden,663.383,217.068
2001,Sweden,625.371,206.984
2002,Sweden,590.476,199.108
2003,Sweden,578.957,195.481
2004,Sweden,541.737,190.044
2005,Sweden,528.942,185.183
2006,Sweden,502.563,180.609
2007,Sweden,497.737,173.677
2008,Sweden,480.72,164.989
2009,Sweden,466.298,154.029
2010,Sweden,454.845,157.223
2011,Sweden,441.231,149.463
2012,Sweden,417.708,141.524
2013,Sweden,411.716,139.005
2014,Sweden,397.741,137.649
2015,Sweden,385.153,132.927
2016,Sweden,386.035,128.756
2017,Sweden,385.432,124.724
2000,Switzerland,383.811,104.16
2001,Switzerland,364.361,100.838
2002,Switzerland,339.796,95.193
2003,Switzerland,331.767,93.003
2004,Switzerland,315.8,91.495
2005,Switzerland,301.826,90.989
2006,Switzerland,280.11,88.07
2007,Switzerland,264.159,85.347
2008,Switzerland,254.353,83.7
2009,Switzerland,237.873,78.119
2010,Switzerland,228.258,76.638
2011,Switzerland,206.986,71.846
2012,Switzerland,199.378,71.798
2013,Switzerland,192.028,71.614
2014,Switzerland,173.443,67.754
2015,Switzerland,164.426,63.74
2016,Switzerland,160.32,61.928
2017,Switzerland,154.113,59.508
2000,Turkey,2605.457,495.332
2001,Turkey,2357.09,473.517
2002,Turkey,2419.822,560.239
2003,Turkey,2376.004,541.9
2004,Turkey,2375.947,633.065
2005,Turkey,2318.405,671.817
2006,Turkey,2350.264,689.035
2007,Turkey,2399.662,741.438
2008,Turkey,2722.377,732.079
2009,Turkey,2933.366,713.653
2010,Turkey,2898.822,703.726
2011,Turkey,2596.09,741.916
2012,Turkey,2825.063,654.032
2013,Turkey,2042.579,706.692
2014,Turkey,1958.516,701.53
2015,Turkey,2182.265,709.257
2016,Turkey,2047.339,718.541
2000,United Kingdom,4440.569,2047.801
2001,United Kingdom,4463.129,1997.587
2002,United Kingdom,3978.239,1891.027
2003,United Kingdom,3622.779,1846.697
2004,United Kingdom,3405.881,1787.785
2005,United Kingdom,3157.362,1774.54
2006,United Kingdom,2961.656,1702.06
2007,United Kingdom,2748.489,1633.896
2008,United Kingdom,2594.584,1462.951
2009,United Kingdom,2123.474,1270.542
2010,United Kingdom,2035.702,1247.086
2011,United Kingdom,1850.214,1157.076
2012,United Kingdom,1833.537,1181.584
2013,United Kingdom,1832.501,1121.9
2014,United Kingdom,1742.181,1050.322
2015,United Kingdom,1702.236,1013.528
2016,United Kingdom,1567.495,922.968
2017,United Kingdom,1550.056,887.981
2000,United States,92913.61,20262.523
2001,United States,89375.868,19393.71
2002,United States,79816.663,21632.312
2003,United States,77602.959,20445.527
2004,United States,75384.361,19248.535
2005,United States,73161.908,18380.739
2006,United States,70704.493,17357.631
2007,United States,68247.078,16334.523
2008,United States,61195.15,15252.744
2009,United States,54933.143,14220.664
2010,United States,55857.149,13381.276
2011,United States,55393.766,13003.906
2012,United States,53609.261,12425.051
2013,United States,51824.755,11846.196
2014,United States,50040.25,11318.57
2015,United States,49064.69,10641.422
2016,United States,46691.743,10152.714
2017,United States,45017.49,9667.771
2005,Chile,4387.499,121.238
2006,Chile,4515.046,140.828
2007,Chile,4495.765,164.001
2008,Chile,4668.876,203.555
2009,Chile,4717.744,220.337
2010,Chile,4910.676,228.328
2011,Chile,4935.643,241.744
2012,Chile,4831.531,256.505
2013,Chile,4780.09,218.321
2014,Chile,3538.502,232.823
2015,Chile,2155.001,186.385
2016,Chile,2419.215,181.855
2017,Chile,2460.212,179.83
2000,Estonia,198.565,44.86
2001,Estonia,200.412,46.868
2002,Estonia,189.953,47.471
2003,Estonia,182.753,48.379
2004,Estonia,173.727,45.417
2005,Estonia,155.328,41.799
2006,Estonia,141.555,40.493
2007,Estonia,157.475,44.8
2008,Estonia,156.43,41.548
2009,Estonia,155.839,36.444
2010,Estonia,156.673,42.798
2011,Estonia,131.747,41.304
2012,Estonia,141.861,38.303
2013,Estonia,134.217,37.162
2014,Estonia,128.754,36.666
2015,Estonia,128.787,32.569
2016,Estonia,139.947,32.296
2017,Estonia,138.13,33.122
2000,Israel,375.886,236.871
2003,Israel,283.635,210.364
2004,Israel,262.916,199.578
2005,Israel,256.643,200.472
2006,Israel,236.494,195.353
2007,Israel,225.063,196.244
2008,Israel,212.531,188.24
2009,Israel,197.705,171.637
2010,Israel,185.114,167.294
2011,Israel,167.253,161.475
2012,Israel,142.043,182.685
2013,Israel,137.021,150.63
2014,Israel,133.987,129.531
2015,Israel,134.604,124.482
2016,Israel,132.569,108.167
2006,Russia,17438,3678
2007,Russia,17485,3764
2008,Russia,16299,3809
2009,Russia,15632,3669
2010,Russia,15363,3735
2011,Russia,15840,3649
2012,Russia,16119,3452
2013,Russia,15782,3423
2014,Russia,15517,3379
2015,Russia,15531,3381
2016,Russia,15862,3460
2000,Slovenia,187.438,58.335
2001,Slovenia,181.521,58.145
2002,Slovenia,177.871,57.641
2003,Slovenia,176.531,55.143
2004,Slovenia,165.678,53.685
2005,Slovenia,162.398,54.928
2006,Slovenia,153.68,55.239
2007,Slovenia,146.972,53.486
2008,Slovenia,142.724,57.655
2009,Slovenia,131.515,49.33
2010,Slovenia,130.016,47.932
2011,Slovenia,127.729,47.216
2012,Slovenia,122.606,45.661
2013,Slovenia,121.444,43.654
2014,Slovenia,101.51,38.763
2015,Slovenia,107.225,34.749
2016,Slovenia,109.834,35.701
2017,Slovenia,104.734,34.384
2000,OECD - Total,154197.9,42121.38
2001,OECD - Total,147620.4,41012.63
2002,OECD - Total,135412.3,43084.47
2003,OECD - Total,131260.3,41871.79
2004,OECD - Total,127223.3,40417.91
2005,OECD - Total,121540.5,39206.84
2006,OECD - Total,117284.5,37604.7
2007,OECD - Total,113134.7,36104.7
2008,OECD - Total,104936.1,33859.25
2009,OECD - Total,95909.7,31681.32
2010,OECD - Total,98001.93,30822.77
2011,OECD - Total,93725.98,29864.63
2012,OECD - Total,91273.16,28946.84
2013,OECD - Total,88089.44,28009.76
2014,OECD - Total,84066.64,27101.61
2015,OECD - Total,83179.96,26179.24
2016,OECD - Total,80625.56,25599.19
2017,OECD - Total,78970.99,25094.86
2000,OECD - Europe,39325.072,13574.755
2001,OECD - Europe,37665.883,13309.166
2002,OECD - Europe,35503.087,13052.798
2003,OECD - Europe,34470.993,12884.659
2004,OECD - Europe,33200.401,12779.829
2005,OECD - Europe,31705.038,12596.513
2006,OECD - Europe,30408.816,12269.309
2007,OECD - Europe,29478.077,11960.932
2008,OECD - Europe,29016.013,11092.728
2009,OECD - Europe,26693.168,10241.93
2010,OECD - Europe,27516.331,10075.462
2011,OECD - Europe,24839.255,9689.228
2012,OECD - Europe,24383.873,9287.763
2013,OECD - Europe,23251.244,8982.881
2014,OECD - Europe,21392.405,8656.322
2015,OECD - Europe,21598.353,8482.643
2016,OECD - Europe,21249.341,8208.432
2000,Latvia,285.519,40.257
2001,Latvia,281.348,43.244
2002,Latvia,268.456,42.139
2003,Latvia,268.117,43.958
2004,Latvia,254.662,43.355
2005,Latvia,226.001,42.317
2006,Latvia,221.957,43.482
2007,Latvia,201.387,44.252
2008,Latvia,183.416,40.46
2009,Latvia,193.46,38.099
2010,Latvia,155.643,40.788
2011,Latvia,160.772,38.085
2012,Latvia,163.916,37.784
2013,Latvia,149.163,38.193
2014,Latvia,144.466,38.112
2015,Latvia,122.136,37.91
2016,Latvia,119.464,36.507
2017,Latvia,128.15,37.333
2000,Lithuania,183.439,56.125
2001,Lithuania,181.761,57.77
2002,Lithuania,183.57,59.13
2003,Lithuania,177.747,59.455
2004,Lithuania,173.786,61.133
2005,Lithuania,175.879,61.42
2006,Lithuania,186.337,64.108
2007,Lithuania,191.759,61.096
2008,Lithuania,181.454,61.798
2009,Lithuania,173.525,56.188
2010,Lithuania,155.535,57.768
2011,Lithuania,171.268,54.805
2012,Lithuania,166.276,56.876
2013,Lithuania,159.241,55.724
2014,Lithuania,151.081,55.58
2015,Lithuania,144.406,56.46
2016,Lithuania,142.717,56.186
2017,Lithuania,139.197,52.049
2017,Turkey,,782.583
2017,OECD - Europe,,8136.085
