Country,Year,Not connected to public sewerage ,Total public sewerage
Spain,2000,7,100
Spain,2010,2,98
Spain,2012,0.900001526,98.7
Spain,2014,2.800003052,98.4
Sweden,1970,0,100
Sweden,1980,15,100
Sweden,2000,14,99
Sweden,2005,14,100
Sweden,2010,14,100
Sweden,2011,14,100
Sweden,2012,13,100
Sweden,2013,13,100
Sweden,2014,13,100
Sweden,2015,13,100
Sweden,2016,13,100
Sweden,2017,13,100
Switzerland,2000,4,98.2
Switzerland,2005,3.169998169,99
Switzerland,2010,2.699996948,99.7
Switzerland,2013,1.699996948,99.7
Turkey,2000,36.95000076,26.3
Turkey,2005,31.18000031,42.1
Turkey,2010,21.26999664,52.1
Turkey,2012,16.23999786,58.3
Turkey,2014,12.97000122,64.1
Turkey,2016,10.30000305,70.7
Estonia,2000,30,70
Estonia,2005,26,79
Estonia,2010,18.40000153,86.5
Estonia,2011,18.33000183,86.7
Estonia,2012,17.30000305,86.8
Estonia,2013,17.76000214,87.2
Estonia,2014,17.62000275,87
Estonia,2015,17.40000153,87.6
Estonia,2016,12.2,87.8
Estonia,2017,17.09999847,87.9
Israel,1980,19.5,80.5
Israel,2000,5.699996948,94.3
Israel,2005,3,97
Israel,2010,1.900001526,98.1
Israel,2011,1.800003052,98.2
Israel,2012,1.5,98.5
Israel,2013,1.199996948,98.8
Israel,2014,0.1,98.9
Israel,2015,1,99
Israel,2016,0.900001526,99
Israel,2017,1,99
Slovenia,2000,37.40000153,71.4
Slovenia,2005,37.40000153,85.1
Slovenia,2010,37.41999817,86.9
Slovenia,2011,37.41999817,89.6
Slovenia,2012,37.29999924,88.9
Slovenia,2013,37.40000153,90.3
Slovenia,2014,37.41999817,90.5
Slovenia,2015,37.41999817,91.7
Slovenia,2016,32.90000153,92
Slovenia,2017,29.19999695,95.7
England and Wales,1980,5,95
England and Wales,2000,3.400001526,96.59999847
England and Wales,2005,0.650001526,100
England and Wales,2010,0,100
Poland,2000,46.40000153,53.6
Poland,2005,39.79999924,85.8
Poland,2010,35.30000305,89.8
Poland,2011,34.30000305,90.7
Poland,2012,31.30000305,93.8
Poland,2013,29.69999695,95.2
Poland,2014,28.5,93.8
Poland,2015,27.40000153,94.2
Poland,2016,26.40000153,94.79
Poland,2017,26.40000153,94.96
United States,2000,24.59999847,75.40000153
United States,2012,24.59999847,75.5
Chile,2000,6.699996948,93.30000305
Chile,2005,5.019996643,94.98000336
Chile,2010,4.099998474,95.9
Chile,2011,3.86000061,96.14
Chile,2012,0,100
Chile,2013,0.069999695,99.93
Chile,2014,0.069999695,99.93
Chile,2015,0.150001526,99.85
Chile,2016,0.069999695,99.93
Chile,2017,0.029998779,99.97
Latvia,2000,27.47000122,72.53
Latvia,2005,29.98000336,70.01
Latvia,2010,32.38999939,100
Latvia,2011,23.58999634,100
Latvia,2012,24.38999939,100
Latvia,2013,23.90000153,100
Latvia,2014,23.30999756,100
Latvia,2015,22.76999664,100
Latvia,2016,22.73999786,100
Latvia,2017,18.09999847,100
Lithuania,2005,31.41000366,68.59
Lithuania,2010,27.69999695,74.5
Lithuania,2011,27,75
Lithuania,2012,25.87999725,74.07
Lithuania,2013,25.5,74.18
Lithuania,2014,24.55000305,75.41
Lithuania,2015,23.30000305,76.66
Lithuania,2016,22.49129486,77.48
Lithuania,2017,26.09999847,77.6
Australia,2010,,93.18
Australia,2011,,93.54
Australia,2012,,94.1
Australia,2013,,94.08
Australia,2014,,92.57
Australia,2015,,92.38
Australia,2016,,92.48
Australia,2017,,92.69
France,2017,,100
Germany,2005,,97.3
Greece,2000,,85
Greece,2005,,91
Greece,2015,,93.4
Greece,2016,,93.4
Ireland,2005,,83
Luxembourg,2000,,99.9
Luxembourg,2005,,99.9
Spain,2005,,100
Spain,2011,,100
Spain,2013,,100
Spain,2015,,100
Spain,2016,,100
Switzerland,2012,,99.2
Turkey,2013,,63.7
Turkey,2015,,69.92
United Kingdom,2000,,98
United Kingdom,2005,,100
United Kingdom,2010,,99.5
