Year,Variable,Country,Unit,PowerCode,Value
2015,Fellings,Finland,Cubic metres,Thousands,82396.0
2016,Fellings,Finland,Cubic metres,Thousands,85744.0
2017,Fellings,Finland,Cubic metres,Thousands,87191.0
2002,Fellings,France,Cubic metres,Thousands,70658.0
2003,Fellings,France,Cubic metres,Thousands,64132.0
2004,Fellings,France,Cubic metres,Thousands,59001.0
2009,Fellings,France,Cubic metres,Thousands,45880.0
2010,Fellings,France,Cubic metres,Thousands,46852.0
2011,Fellings,France,Cubic metres,Thousands,48470.0
2012,Fellings,France,Cubic metres,Thousands,49037.0
2013,Fellings,France,Cubic metres,Thousands,48094.0
2014,Fellings,France,Cubic metres,Thousands,47401.0
2000,Fellings,Germany,Cubic metres,Thousands,91175.0
2001,Fellings,Germany,Cubic metres,Thousands,72315.0
2002,Fellings,Germany,Cubic metres,Thousands,76350.41
2003,Fellings,Germany,Cubic metres,Thousands,87561.641
2004,Fellings,Germany,Cubic metres,Thousands,97802.409
2005,Fellings,Germany,Cubic metres,Thousands,101778.43400000001
2006,Fellings,Germany,Cubic metres,Thousands,109954.993
2007,Fellings,Germany,Cubic metres,Thousands,124192.00300000001
2008,Fellings,Germany,Cubic metres,Thousands,101603.93199999999
2009,Fellings,Germany,Cubic metres,Thousands,87868.686
2010,Fellings,Germany,Cubic metres,Thousands,101200.015
2011,Fellings,Germany,Cubic metres,Thousands,93409.229
2012,Fellings,Germany,Cubic metres,Thousands,93821.429
2013,Fellings,Germany,Cubic metres,Thousands,87237.81199999999
2014,Fellings,Germany,Cubic metres,Thousands,86927.66900000001
2015,Fellings,Germany,Cubic metres,Thousands,88504.991
2016,Fellings,Germany,Cubic metres,Thousands,85341.73199999999
2000,Fellings,Greece,Cubic metres,Thousands,1972.0
2001,Fellings,Greece,Cubic metres,Thousands,1529.0
2002,Fellings,Greece,Cubic metres,Thousands,1586.0
2003,Fellings,Greece,Cubic metres,Thousands,1650.0
2004,Fellings,Greece,Cubic metres,Thousands,1693.0
2005,Fellings,Greece,Cubic metres,Thousands,1601.0
2006,Fellings,Greece,Cubic metres,Thousands,1666.0
2007,Fellings,Greece,Cubic metres,Thousands,1587.0
2008,Fellings,Greece,Cubic metres,Thousands,1466.0
2009,Fellings,Greece,Cubic metres,Thousands,1267.0
2010,Fellings,Greece,Cubic metres,Thousands,1838.0
2011,Fellings,Greece,Cubic metres,Thousands,1833.75
2012,Fellings,Greece,Cubic metres,Thousands,1711.879
2013,Fellings,Greece,Cubic metres,Thousands,1596.4270000000001
2014,Fellings,Greece,Cubic metres,Thousands,1431.9260000000002
2000,Fellings,Hungary,Cubic metres,Thousands,7287.0
2001,Fellings,Hungary,Cubic metres,Thousands,7011.0
2002,Fellings,Hungary,Cubic metres,Thousands,7013.0
2003,Fellings,Hungary,Cubic metres,Thousands,7085.0
2004,Fellings,Hungary,Cubic metres,Thousands,7094.0
2005,Fellings,Hungary,Cubic metres,Thousands,7167.0
2006,Fellings,Hungary,Cubic metres,Thousands,7005.0
2007,Fellings,Hungary,Cubic metres,Thousands,6609.0
2008,Fellings,Hungary,Cubic metres,Thousands,7024.0
2009,Fellings,Hungary,Cubic metres,Thousands,6774.0
2010,Fellings,Hungary,Cubic metres,Thousands,7424.0
2011,Fellings,Hungary,Cubic metres,Thousands,8080.0
2012,Fellings,Hungary,Cubic metres,Thousands,7732.0
2013,Fellings,Hungary,Cubic metres,Thousands,7875.0
2014,Fellings,Hungary,Cubic metres,Thousands,7517.0
2015,Fellings,Hungary,Cubic metres,Thousands,7354.0
2016,Fellings,Hungary,Cubic metres,Thousands,7338.0
2017,Fellings,Hungary,Cubic metres,Thousands,7576.0
2005,Fellings,Iceland,Cubic metres,Thousands,0.5
2000,Fellings,Ireland,Cubic metres,Thousands,3043.0
2005,Fellings,Ireland,Cubic metres,Thousands,3206.0
2006,Fellings,Ireland,Cubic metres,Thousands,3234.0
2007,Fellings,Ireland,Cubic metres,Thousands,3240.6
2008,Fellings,Ireland,Cubic metres,Thousands,2636.7
2009,Fellings,Ireland,Cubic metres,Thousands,2732.4
2010,Fellings,Ireland,Cubic metres,Thousands,2948.0
2011,Fellings,Ireland,Cubic metres,Thousands,2953.5
2012,Fellings,Ireland,Cubic metres,Thousands,3121.8
2013,Fellings,Ireland,Cubic metres,Thousands,3339.6
2014,Fellings,Ireland,Cubic metres,Thousands,3425.4
2015,Fellings,Ireland,Cubic metres,Thousands,3575.0
2016,Fellings,Ireland,Cubic metres,Thousands,3690.5
2017,Fellings,Ireland,Cubic metres,Thousands,3894.0
2000,Fellings,Italy,Cubic metres,Thousands,14327.0
2005,Fellings,Italy,Cubic metres,Thousands,13298.0
2010,Fellings,Italy,Cubic metres,Thousands,12755.0
2000,Fellings,Japan,Cubic metres,Thousands,24650.0
2005,Fellings,Japan,Cubic metres,Thousands,34659.0
2006,Fellings,Japan,Cubic metres,Thousands,35784.0
2007,Fellings,Japan,Cubic metres,Thousands,39690.0
2008,Fellings,Japan,Cubic metres,Thousands,41194.0
2009,Fellings,Japan,Cubic metres,Thousands,43484.0
2010,Fellings,Japan,Cubic metres,Thousands,44152.0
2011,Fellings,Japan,Cubic metres,Thousands,45931.0
2012,Fellings,Japan,Cubic metres,Thousands,39455.0
2013,Fellings,Japan,Cubic metres,Thousands,40209.0
2014,Fellings,Japan,Cubic metres,Thousands,41881.0
2015,Fellings,Japan,Cubic metres,Thousands,43806.0
2016,Fellings,Japan,Cubic metres,Thousands,45816.0
2000,Fellings,Korea,Cubic metres,Thousands,2438.0
2005,Fellings,Korea,Cubic metres,Thousands,3573.0
2006,Fellings,Korea,Cubic metres,Thousands,3728.0
2007,Fellings,Korea,Cubic metres,Thousands,4553.0
2008,Fellings,Korea,Cubic metres,Thousands,4727.0
2009,Fellings,Korea,Cubic metres,Thousands,7678.0
2010,Fellings,Korea,Cubic metres,Thousands,8671.0
2011,Fellings,Korea,Cubic metres,Thousands,9953.0
2012,Fellings,Korea,Cubic metres,Thousands,10701.0
2013,Fellings,Korea,Cubic metres,Thousands,9323.0
2014,Fellings,Korea,Cubic metres,Thousands,8763.0
2015,Fellings,Korea,Cubic metres,Thousands,7769.0
2016,Fellings,Korea,Cubic metres,Thousands,7670.0
2017,Fellings,Korea,Cubic metres,Thousands,6750.0
2000,Fellings,Luxembourg,Cubic metres,Thousands,316.0
2005,Fellings,Luxembourg,Cubic metres,Thousands,249.0
2006,Fellings,Luxembourg,Cubic metres,Thousands,294.0
2007,Fellings,Luxembourg,Cubic metres,Thousands,370.0
2008,Fellings,Luxembourg,Cubic metres,Thousands,382.0
2009,Fellings,Luxembourg,Cubic metres,Thousands,354.0
2010,Fellings,Luxembourg,Cubic metres,Thousands,464.0
2011,Fellings,Luxembourg,Cubic metres,Thousands,515.0
2012,Fellings,Luxembourg,Cubic metres,Thousands,363.0
2013,Fellings,Luxembourg,Cubic metres,Thousands,356.0
2014,Fellings,Luxembourg,Cubic metres,Thousands,405.0
2015,Fellings,Luxembourg,Cubic metres,Thousands,438.0
2016,Fellings,Luxembourg,Cubic metres,Thousands,382.0
2017,Fellings,Luxembourg,Cubic metres,Thousands,432.0
2000,Fellings,Mexico,Cubic metres,Thousands,9429.8
2001,Fellings,Mexico,Cubic metres,Thousands,8124.571
2002,Fellings,Mexico,Cubic metres,Thousands,6664.72
2003,Fellings,Mexico,Cubic metres,Thousands,6996.77
2004,Fellings,Mexico,Cubic metres,Thousands,6718.508000000001
2005,Fellings,Mexico,Cubic metres,Thousands,6423.898
2006,Fellings,Mexico,Cubic metres,Thousands,6481.1669999999995
2007,Fellings,Mexico,Cubic metres,Thousands,6988.460999999999
2008,Fellings,Mexico,Cubic metres,Thousands,6304.948
2009,Fellings,Mexico,Cubic metres,Thousands,5808.956999999999
2010,Fellings,Mexico,Cubic metres,Thousands,5627.0869999999995
2011,Fellings,Mexico,Cubic metres,Thousands,5501.085999999999
2012,Fellings,Mexico,Cubic metres,Thousands,5910.293000000001
2013,Fellings,Mexico,Cubic metres,Thousands,5957.094
2014,Fellings,Mexico,Cubic metres,Thousands,5664.934
2015,Fellings,Mexico,Cubic metres,Thousands,6122.241
2016,Fellings,Mexico,Cubic metres,Thousands,6715.284000000001
2017,Fellings,Mexico,Cubic metres,Thousands,7072.005
2000,Fellings,Netherlands,Cubic metres,Thousands,1354.0
2005,Fellings,Netherlands,Cubic metres,Thousands,1314.0
2010,Fellings,Netherlands,Cubic metres,Thousands,1295.0
2013,Fellings,Netherlands,Cubic metres,Thousands,1267.0
2017,Fellings,Netherlands,Cubic metres,Thousands,1321.0
2000,Fellings,New Zealand,Cubic metres,Thousands,18196.0
2001,Fellings,New Zealand,Cubic metres,Thousands,19287.0
2002,Fellings,New Zealand,Cubic metres,Thousands,20940.0
2003,Fellings,New Zealand,Cubic metres,Thousands,22472.0
2004,Fellings,New Zealand,Cubic metres,Thousands,20911.0
2005,Fellings,New Zealand,Cubic metres,Thousands,19334.0
2006,Fellings,New Zealand,Cubic metres,Thousands,18894.0
2007,Fellings,New Zealand,Cubic metres,Thousands,19974.0
2008,Fellings,New Zealand,Cubic metres,Thousands,20481.0
2009,Fellings,New Zealand,Cubic metres,Thousands,18937.0
2010,Fellings,New Zealand,Cubic metres,Thousands,22042.0
2011,Fellings,New Zealand,Cubic metres,Thousands,25131.0
2012,Fellings,New Zealand,Cubic metres,Thousands,26070.0
2013,Fellings,New Zealand,Cubic metres,Thousands,28163.682
2014,Fellings,New Zealand,Cubic metres,Thousands,30258.37
2015,Fellings,New Zealand,Cubic metres,Thousands,29580.0
2016,Fellings,New Zealand,Cubic metres,Thousands,28536.0
2017,Fellings,New Zealand,Cubic metres,Thousands,31411.0
2000,Fellings,Norway,Cubic metres,Thousands,12048.0
2005,Fellings,Norway,Cubic metres,Thousands,13068.0
2006,Fellings,Norway,Cubic metres,Thousands,11764.0
2007,Fellings,Norway,Cubic metres,Thousands,12845.0
2008,Fellings,Norway,Cubic metres,Thousands,12705.0
2009,Fellings,Norway,Cubic metres,Thousands,11038.0
2010,Fellings,Norway,Cubic metres,Thousands,13359.0
2011,Fellings,Norway,Cubic metres,Thousands,13116.0
2012,Fellings,Norway,Cubic metres,Thousands,13758.0
2013,Fellings,Norway,Cubic metres,Thousands,13313.0
2014,Fellings,Norway,Cubic metres,Thousands,14081.0
2015,Fellings,Norway,Cubic metres,Thousands,15547.0
2016,Fellings,Norway,Cubic metres,Thousands,15711.0
2017,Fellings,Norway,Cubic metres,Thousands,16056.0
2000,Fellings,Poland,Cubic metres,Thousands,32531.0
2005,Fellings,Poland,Cubic metres,Thousands,37156.0
2009,Fellings,Poland,Cubic metres,Thousands,37754.0
2010,Fellings,Poland,Cubic metres,Thousands,46600.0
2000,Fellings,Portugal,Cubic metres,Thousands,12650.0
2001,Fellings,Portugal,Cubic metres,Thousands,11909.848999999998
2002,Fellings,Portugal,Cubic metres,Thousands,11501.143
2003,Fellings,Portugal,Cubic metres,Thousands,12701.785
2004,Fellings,Portugal,Cubic metres,Thousands,14321.285
2005,Fellings,Portugal,Cubic metres,Thousands,14229.0
2006,Fellings,Portugal,Cubic metres,Thousands,14130.741000000002
2007,Fellings,Portugal,Cubic metres,Thousands,14184.832
2008,Fellings,Portugal,Cubic metres,Thousands,13259.652
2009,Fellings,Portugal,Cubic metres,Thousands,12588.492
2000,Fellings,Slovak Republic,Cubic metres,Thousands,6218.0
2001,Fellings,Slovak Republic,Cubic metres,Thousands,6185.0
2002,Fellings,Slovak Republic,Cubic metres,Thousands,6248.0
2003,Fellings,Slovak Republic,Cubic metres,Thousands,6652.0
2004,Fellings,Slovak Republic,Cubic metres,Thousands,7268.0
2005,Fellings,Slovak Republic,Cubic metres,Thousands,10191.0
2006,Fellings,Slovak Republic,Cubic metres,Thousands,8357.0
2007,Fellings,Slovak Republic,Cubic metres,Thousands,8367.0
2008,Fellings,Slovak Republic,Cubic metres,Thousands,9467.0
2009,Fellings,Slovak Republic,Cubic metres,Thousands,9248.0
2010,Fellings,Slovak Republic,Cubic metres,Thousands,9860.0
2011,Fellings,Slovak Republic,Cubic metres,Thousands,9467.0
2012,Fellings,Slovak Republic,Cubic metres,Thousands,8232.0
2013,Fellings,Slovak Republic,Cubic metres,Thousands,7837.0
2014,Fellings,Slovak Republic,Cubic metres,Thousands,9417.0
2015,Fellings,Slovak Republic,Cubic metres,Thousands,9249.0
2016,Fellings,Slovak Republic,Cubic metres,Thousands,9321.0
2017,Fellings,Slovak Republic,Cubic metres,Thousands,9393.0
2000,Fellings,Spain,Cubic metres,Thousands,16873.389
2005,Fellings,Spain,Cubic metres,Thousands,17369.103
2010,Fellings,Spain,Cubic metres,Thousands,19706.466
2000,Fellings,Sweden,Cubic metres,Thousands,71200.0
2005,Fellings,Sweden,Cubic metres,Thousands,86400.0
2009,Fellings,Sweden,Cubic metres,Thousands,78800.0
2010,Fellings,Sweden,Cubic metres,Thousands,88900.0
2011,Fellings,Sweden,Cubic metres,Thousands,88400.0
2012,Fellings,Sweden,Cubic metres,Thousands,85500.0
2013,Fellings,Sweden,Cubic metres,Thousands,85600.0
2014,Fellings,Sweden,Cubic metres,Thousands,91500.0
2015,Fellings,Sweden,Cubic metres,Thousands,92400.0
2016,Fellings,Sweden,Cubic metres,Thousands,93300.0
2017,Fellings,Sweden,Cubic metres,Thousands,90900.0
2000,Fellings,Switzerland,Cubic metres,Thousands,7838.0
2005,Fellings,Switzerland,Cubic metres,Thousands,8076.0
2010,Fellings,Switzerland,Cubic metres,Thousands,8289.0
2015,Fellings,Switzerland,Cubic metres,Thousands,8505.0
2000,Fellings,Turkey,Cubic metres,Thousands,12880.0
2005,Fellings,Turkey,Cubic metres,Thousands,14107.0
2009,Fellings,Turkey,Cubic metres,Thousands,18736.0
2010,Fellings,Turkey,Cubic metres,Thousands,16424.0
2011,Fellings,Turkey,Cubic metres,Thousands,17216.0
2012,Fellings,Turkey,Cubic metres,Thousands,17893.0
2013,Fellings,Turkey,Cubic metres,Thousands,17886.0
2014,Fellings,Turkey,Cubic metres,Thousands,19276.0
2015,Fellings,Turkey,Cubic metres,Thousands,21241.0
2016,Fellings,Turkey,Cubic metres,Thousands,21129.0
2017,Fellings,Turkey,Cubic metres,Thousands,20196.0
2000,Fellings,United Kingdom,Cubic metres,Thousands,9678.0
2005,Fellings,United Kingdom,Cubic metres,Thousands,10551.0
2010,Fellings,United Kingdom,Cubic metres,Thousands,11646.0
2015,Fellings,United Kingdom,Cubic metres,Thousands,13517.0
2000,Fellings,Chile,Cubic metres,Thousands,35892.04
2005,Fellings,Chile,Cubic metres,Thousands,45707.22
2009,Fellings,Chile,Cubic metres,Thousands,52696.44
2012,Fellings,Chile,Cubic metres,Thousands,59659.0
2013,Fellings,Chile,Cubic metres,Thousands,54400.0
2014,Fellings,Chile,Cubic metres,Thousands,51907.0
2015,Fellings,Chile,Cubic metres,Thousands,52006.0
2000,Fellings,Estonia,Cubic metres,Thousands,10556.466999999999
2001,Fellings,Estonia,Cubic metres,Thousands,12403.271999999999
2002,Fellings,Estonia,Cubic metres,Thousands,10134.305
2003,Fellings,Estonia,Cubic metres,Thousands,9834.424
2004,Fellings,Estonia,Cubic metres,Thousands,8101.82
2005,Fellings,Estonia,Cubic metres,Thousands,7962.095
2006,Fellings,Estonia,Cubic metres,Thousands,5737.210999999999
2007,Fellings,Estonia,Cubic metres,Thousands,5167.935
2008,Fellings,Estonia,Cubic metres,Thousands,4639.198
2009,Fellings,Estonia,Cubic metres,Thousands,6349.505
2010,Fellings,Estonia,Cubic metres,Thousands,8165.22
2011,Fellings,Estonia,Cubic metres,Thousands,8990.496
2012,Fellings,Estonia,Cubic metres,Thousands,10181.723
2013,Fellings,Estonia,Cubic metres,Thousands,10091.724
2014,Fellings,Estonia,Cubic metres,Thousands,10007.563
2015,Fellings,Estonia,Cubic metres,Thousands,10046.291
2016,Fellings,Estonia,Cubic metres,Thousands,10737.585
2017,Fellings,Estonia,Cubic metres,Thousands,10992.0
2000,Fellings,Russia,Cubic metres,Thousands,86489.0
2001,Fellings,Russia,Cubic metres,Thousands,89287.0
2002,Fellings,Russia,Cubic metres,Thousands,94656.0
2003,Fellings,Russia,Cubic metres,Thousands,111915.0
2004,Fellings,Russia,Cubic metres,Thousands,121516.0
2005,Fellings,Russia,Cubic metres,Thousands,124224.0
2006,Fellings,Russia,Cubic metres,Thousands,125427.0
2007,Fellings,Russia,Cubic metres,Thousands,142177.0
2008,Fellings,Russia,Cubic metres,Thousands,113128.0
2009,Fellings,Russia,Cubic metres,Thousands,100059.0
2010,Fellings,Russia,Cubic metres,Thousands,112163.0
2000,Fellings,Slovenia,Cubic metres,Thousands,2609.0
2005,Fellings,Slovenia,Cubic metres,Thousands,3153.0
2006,Fellings,Slovenia,Cubic metres,Thousands,3718.0
2007,Fellings,Slovenia,Cubic metres,Thousands,3242.0
2008,Fellings,Slovenia,Cubic metres,Thousands,3427.0
2009,Fellings,Slovenia,Cubic metres,Thousands,3374.0
2012,Fellings,Slovenia,Cubic metres,Thousands,4869.0
2000,Volumes salvaged,Czech Republic,Cubic metres,Thousands,3644.0
2001,Volumes salvaged,Czech Republic,Cubic metres,Thousands,2630.0
2002,Volumes salvaged,Czech Republic,Cubic metres,Thousands,4669.0
2003,Volumes salvaged,Czech Republic,Cubic metres,Thousands,9081.0
2004,Volumes salvaged,Czech Republic,Cubic metres,Thousands,5962.0
2005,Volumes salvaged,Czech Republic,Cubic metres,Thousands,5031.0
2006,Volumes salvaged,Czech Republic,Cubic metres,Thousands,8896.0
2007,Volumes salvaged,Czech Republic,Cubic metres,Thousands,16497.0
2008,Volumes salvaged,Czech Republic,Cubic metres,Thousands,11913.0
2009,Volumes salvaged,Czech Republic,Cubic metres,Thousands,7348.0
2010,Volumes salvaged,Czech Republic,Cubic metres,Thousands,6738.0
2011,Volumes salvaged,Czech Republic,Cubic metres,Thousands,4234.0
2012,Volumes salvaged,Czech Republic,Cubic metres,Thousands,3588.0
2013,Volumes salvaged,Czech Republic,Cubic metres,Thousands,4708.0
2014,Volumes salvaged,Czech Republic,Cubic metres,Thousands,5017.0
2015,Volumes salvaged,Czech Republic,Cubic metres,Thousands,9036.0
2016,Volumes salvaged,Czech Republic,Cubic metres,Thousands,10417.0
2017,Volumes salvaged,Czech Republic,Cubic metres,Thousands,13015.0
2012,Volumes salvaged,Denmark,Cubic metres,Thousands,37.0
2013,Volumes salvaged,Denmark,Cubic metres,Thousands,38.0
2014,Volumes salvaged,Denmark,Cubic metres,Thousands,52.0
2015,Volumes salvaged,Denmark,Cubic metres,Thousands,76.0
2016,Volumes salvaged,Denmark,Cubic metres,Thousands,95.0
2017,Volumes salvaged,Denmark,Cubic metres,Thousands,130.064
2005,Volumes salvaged,Finland,Cubic metres,Thousands,5882.0
2006,Volumes salvaged,Finland,Cubic metres,Thousands,5681.0
2007,Volumes salvaged,Finland,Cubic metres,Thousands,6318.0
2008,Volumes salvaged,Finland,Cubic metres,Thousands,8144.0
2009,Volumes salvaged,Finland,Cubic metres,Thousands,7103.0
2010,Volumes salvaged,Finland,Cubic metres,Thousands,8362.0
2011,Volumes salvaged,Finland,Cubic metres,Thousands,8470.0
2012,Volumes salvaged,Finland,Cubic metres,Thousands,8262.0
2013,Volumes salvaged,Finland,Cubic metres,Thousands,9198.0
2014,Volumes salvaged,Finland,Cubic metres,Thousands,9122.0
2015,Volumes salvaged,Finland,Cubic metres,Thousands,9625.0
2016,Volumes salvaged,Finland,Cubic metres,Thousands,9820.0
2017,Volumes salvaged,Finland,Cubic metres,Thousands,9163.0
2006,Volumes salvaged,Korea,Cubic metres,Thousands,289.0
2007,Volumes salvaged,Korea,Cubic metres,Thousands,99.0
2008,Volumes salvaged,Korea,Cubic metres,Thousands,49.0
2009,Volumes salvaged,Korea,Cubic metres,Thousands,23.0
2010,Volumes salvaged,Korea,Cubic metres,Thousands,100.0
2011,Volumes salvaged,Korea,Cubic metres,Thousands,322.0
2012,Volumes salvaged,Korea,Cubic metres,Thousands,356.0
2013,Volumes salvaged,Korea,Cubic metres,Thousands,537.0
2014,Volumes salvaged,Korea,Cubic metres,Thousands,624.0
2015,Volumes salvaged,Korea,Cubic metres,Thousands,457.0
2016,Volumes salvaged,Korea,Cubic metres,Thousands,712.0
2017,Volumes salvaged,Korea,Cubic metres,Thousands,802.0
2011,Volumes salvaged,Luxembourg,Cubic metres,Thousands,0.0
2012,Volumes salvaged,Luxembourg,Cubic metres,Thousands,0.0
2013,Volumes salvaged,Luxembourg,Cubic metres,Thousands,0.0
2014,Volumes salvaged,Luxembourg,Cubic metres,Thousands,14.0
2015,Volumes salvaged,Luxembourg,Cubic metres,Thousands,0.0
2016,Volumes salvaged,Luxembourg,Cubic metres,Thousands,0.0
2017,Volumes salvaged,Luxembourg,Cubic metres,Thousands,0.0
2010,Volumes salvaged,Netherlands,Cubic metres,Thousands,50.0
2013,Volumes salvaged,Netherlands,Cubic metres,Thousands,37.0
2017,Volumes salvaged,Netherlands,Cubic metres,Thousands,37.0
2000,Volumes salvaged,Poland,Cubic metres,Thousands,4874.0
2005,Volumes salvaged,Poland,Cubic metres,Thousands,5211.0
2009,Volumes salvaged,Poland,Cubic metres,Thousands,5354.0
2010,Volumes salvaged,Poland,Cubic metres,Thousands,9300.0
2000,Volumes salvaged,Portugal,Cubic metres,Thousands,632.0
2001,Volumes salvaged,Portugal,Cubic metres,Thousands,595.492
2002,Volumes salvaged,Portugal,Cubic metres,Thousands,575.057
2003,Volumes salvaged,Portugal,Cubic metres,Thousands,635.089
2004,Volumes salvaged,Portugal,Cubic metres,Thousands,716.064
2005,Volumes salvaged,Portugal,Cubic metres,Thousands,711.0
2006,Volumes salvaged,Portugal,Cubic metres,Thousands,706.5369999999999
2007,Volumes salvaged,Portugal,Cubic metres,Thousands,709.242
2008,Volumes salvaged,Portugal,Cubic metres,Thousands,662.9830000000001
2009,Volumes salvaged,Portugal,Cubic metres,Thousands,709.242
2000,Volumes salvaged,Slovak Republic,Cubic metres,Thousands,3021.0
2001,Volumes salvaged,Slovak Republic,Cubic metres,Thousands,2442.0
2002,Volumes salvaged,Slovak Republic,Cubic metres,Thousands,2158.0
2003,Volumes salvaged,Slovak Republic,Cubic metres,Thousands,2676.0
2004,Volumes salvaged,Slovak Republic,Cubic metres,Thousands,2916.0
