Year,Country,Variable,Value
2012,Switzerland,Other municipal waste,2398
2013,Switzerland,Other municipal waste,2512
2014,Switzerland,Other municipal waste,2643
2015,Switzerland,Other municipal waste,2654
2016,Switzerland,Other municipal waste,2665
2017,Switzerland,Other municipal waste,2636
2000,Switzerland,Municipal waste treated,4731
2001,Switzerland,Municipal waste treated,4794
2002,Switzerland,Municipal waste treated,4936
2003,Switzerland,Municipal waste treated,4916
2004,Switzerland,Municipal waste treated,4899
2005,Switzerland,Municipal waste treated,4940
2006,Switzerland,Municipal waste treated,5330
2007,Switzerland,Municipal waste treated,5465
2008,Switzerland,Municipal waste treated,5653
2009,Switzerland,Municipal waste treated,5461
2010,Switzerland,Municipal waste treated,5565
2011,Switzerland,Municipal waste treated,5478
2012,Switzerland,Municipal waste treated,5576
2013,Switzerland,Municipal waste treated,5708
2014,Switzerland,Municipal waste treated,6006
2015,Switzerland,Municipal waste treated,6030
2016,Switzerland,Municipal waste treated,6060
2017,Switzerland,Municipal waste treated,5992
2000,Switzerland,Recycling,1500
2001,Switzerland,Recycling,1584
2002,Switzerland,Recycling,1578
2003,Switzerland,Recycling,1596
2004,Switzerland,Recycling,1640
2005,Switzerland,Recycling,1730
2006,Switzerland,Recycling,1785
2007,Switzerland,Recycling,1855
2008,Switzerland,Recycling,1893
2009,Switzerland,Recycling,1871
2010,Switzerland,Recycling,1878
2011,Switzerland,Recycling,1895
2012,Switzerland,Recycling,1939
2013,Switzerland,Recycling,1919
2014,Switzerland,Recycling,1960
2015,Switzerland,Recycling,1924
2016,Switzerland,Recycling,1880
2017,Switzerland,Recycling,1846
2000,Switzerland,Landfill,391
2001,Switzerland,Landfill,203
2002,Switzerland,Landfill,80
2003,Switzerland,Landfill,70
2004,Switzerland,Landfill,0
2005,Switzerland,Landfill,0
2006,Switzerland,Landfill,0
2007,Switzerland,Landfill,0
2008,Switzerland,Landfill,0
2009,Switzerland,Landfill,0
2010,Switzerland,Landfill,0
2011,Switzerland,Landfill,0
2012,Switzerland,Landfill,0
2013,Switzerland,Landfill,0
2014,Switzerland,Landfill,0
2015,Switzerland,Landfill,0
2016,Switzerland,Landfill,0
2017,Switzerland,Landfill,0
2000,Turkey,Municipal waste generated,30617
2001,Turkey,Municipal waste generated,31030.87
2002,Turkey,Municipal waste generated,30999.26
2003,Turkey,Municipal waste generated,31081.37
2004,Turkey,Municipal waste generated,29736.19
2005,Turkey,Municipal waste generated,31351.87
2006,Turkey,Municipal waste generated,30081.82
2007,Turkey,Municipal waste generated,30365.59
2008,Turkey,Municipal waste generated,28454
2009,Turkey,Municipal waste generated,30196
2010,Turkey,Municipal waste generated,29733
2011,Turkey,Municipal waste generated,30862
2012,Turkey,Municipal waste generated,30786
2013,Turkey,Municipal waste generated,30920
2014,Turkey,Municipal waste generated,31230
2015,Turkey,Municipal waste generated,31283
2016,Turkey,Municipal waste generated,33763
2017,Turkey,Municipal waste generated,34173
2000,Turkey,Municipal waste treated,24696.07
2001,Turkey,Municipal waste treated,25134.17
2002,Turkey,Municipal waste treated,25373.76
2003,Turkey,Municipal waste treated,26117.52
2004,Turkey,Municipal waste treated,25015.26
2005,Turkey,Municipal waste treated,26617.17
2006,Turkey,Municipal waste treated,25280.6
2007,Turkey,Municipal waste treated,26066
2008,Turkey,Municipal waste treated,24360.74
2009,Turkey,Municipal waste treated,26218
2010,Turkey,Municipal waste treated,25276
2011,Turkey,Municipal waste treated,26780
2012,Turkey,Municipal waste treated,25845
2013,Turkey,Municipal waste treated,25563
2014,Turkey,Municipal waste treated,28010
2015,Turkey,Municipal waste treated,27584
2016,Turkey,Municipal waste treated,31584
2017,Turkey,Municipal waste treated,31968
2000,Turkey,Landfill,23894.07
2001,Turkey,Landfill,24471.09
2002,Turkey,Landfill,24572.64
2003,Turkey,Landfill,25304.58
2004,Turkey,Landfill,24407.52
2005,Turkey,Landfill,25947.4
2006,Turkey,Landfill,24708.67
2007,Turkey,Landfill,25484.35
2008,Turkey,Landfill,23798
2009,Turkey,Landfill,25700
2010,Turkey,Landfill,24904
2011,Turkey,Landfill,26319
2012,Turkey,Landfill,25552
2013,Turkey,Landfill,25267
2014,Turkey,Landfill,27864
2015,Turkey,Landfill,27415
2016,Turkey,Landfill,28491
2017,Turkey,Landfill,28837
2000,United Kingdom,Municipal waste generated,33954
2001,United Kingdom,Municipal waste generated,34945
2002,United Kingdom,Municipal waste generated,35532
2003,United Kingdom,Municipal waste generated,35279
2004,United Kingdom,Municipal waste generated,36121
2005,United Kingdom,Municipal waste generated,35121
2006,United Kingdom,Municipal waste generated,35479
2007,United Kingdom,Municipal waste generated,34780
2008,United Kingdom,Municipal waste generated,33424
2009,United Kingdom,Municipal waste generated,32507.45
2010,United Kingdom,Municipal waste generated,31954.51
2011,United Kingdom,Municipal waste generated,31066.06
2012,United Kingdom,Municipal waste generated,30412.98
2013,United Kingdom,Municipal waste generated,30890.41
2014,United Kingdom,Municipal waste generated,31129.42
2015,United Kingdom,Municipal waste generated,31475.01
2016,United Kingdom,Municipal waste generated,31709.99
2017,United Kingdom,Municipal waste generated,30910.82
2000,United Kingdom,Waste from households,29911
2001,United Kingdom,Waste from households,30513
2002,United Kingdom,Waste from households,30909
2003,United Kingdom,Waste from households,30857.3
2004,United Kingdom,Waste from households,30990
2005,United Kingdom,Waste from households,30467.5
2006,United Kingdom,Waste from households,30749.8
2007,United Kingdom,Waste from households,30759
2008,United Kingdom,Waste from households,29559.8
2009,United Kingdom,Waste from households,28831
2010,United Kingdom,Waste from households,22216.03
2011,United Kingdom,Waste from households,22287.94
2012,United Kingdom,Waste from households,26158.81
2013,United Kingdom,Waste from households,26482.06
2014,United Kingdom,Waste from households,26787.46
2015,United Kingdom,Waste from households,27152.7
2016,United Kingdom,Waste from households,27445.85
2017,United Kingdom,Waste from households,26854.55
2000,United Kingdom,Other municipal waste,4043
2001,United Kingdom,Other municipal waste,4432
2002,United Kingdom,Other municipal waste,4623
2003,United Kingdom,Other municipal waste,4421.74
2004,United Kingdom,Other municipal waste,5131
2005,United Kingdom,Other municipal waste,4653.47
2006,United Kingdom,Other municipal waste,4729.17
2007,United Kingdom,Other municipal waste,4021
2008,United Kingdom,Other municipal waste,3864.23
2009,United Kingdom,Other municipal waste,3758.27
2010,United Kingdom,Other municipal waste,9738.49
2011,United Kingdom,Other municipal waste,8778.12
2012,United Kingdom,Other municipal waste,4254.17
2013,United Kingdom,Other municipal waste,4408.35
2014,United Kingdom,Other municipal waste,4342.96
2015,United Kingdom,Other municipal waste,4322.31
2016,United Kingdom,Other municipal waste,4264.14
2017,United Kingdom,Other municipal waste,4057.27
2000,United Kingdom,Municipal waste treated,33954
2001,United Kingdom,Municipal waste treated,34942
2002,United Kingdom,Municipal waste treated,35534
2003,United Kingdom,Municipal waste treated,35244.59
2004,United Kingdom,Municipal waste treated,36090.11
2005,United Kingdom,Municipal waste treated,35097
2006,United Kingdom,Municipal waste treated,35370
2007,United Kingdom,Municipal waste treated,34626
2008,United Kingdom,Municipal waste treated,33215
2009,United Kingdom,Municipal waste treated,32507.75
2010,United Kingdom,Municipal waste treated,31954.77
2011,United Kingdom,Municipal waste treated,31066.09
2012,United Kingdom,Municipal waste treated,30472.53
2013,United Kingdom,Municipal waste treated,30987.96
2014,United Kingdom,Municipal waste treated,31175.88
2015,United Kingdom,Municipal waste treated,31527.15
2016,United Kingdom,Municipal waste treated,31786.21
2017,United Kingdom,Municipal waste treated,30998.41
2000,United Kingdom,Recycling,2836
2001,United Kingdom,Recycling,3181
2002,United Kingdom,Recycling,3733
2003,United Kingdom,Recycling,4698
2004,United Kingdom,Recycling,5657
2005,United Kingdom,Recycling,6362
2006,United Kingdom,Recycling,7107
2007,United Kingdom,Recycling,7680
2008,United Kingdom,Recycling,7775
2009,United Kingdom,Recycling,7890.34
2010,United Kingdom,Recycling,8068.62
2011,United Kingdom,Recycling,8134.03
2012,United Kingdom,Recycling,8173.1
2013,United Kingdom,Recycling,8459.58
2014,United Kingdom,Recycling,8466
2015,United Kingdom,Recycling,8557.79
2016,United Kingdom,Recycling,8639.75
2017,United Kingdom,Recycling,8324.17
2000,United Kingdom,Landfill,27563
2001,United Kingdom,Landfill,27948
2002,United Kingdom,Landfill,27546
2003,United Kingdom,Landfill,26144
2004,United Kingdom,Landfill,25006
2005,United Kingdom,Landfill,22569
2006,United Kingdom,Landfill,21335
2007,United Kingdom,Landfill,19685
2008,United Kingdom,Landfill,17590
2009,United Kingdom,Landfill,16020.3
2010,United Kingdom,Landfill,14685.53
2011,United Kingdom,Landfill,12573.8
2012,United Kingdom,Landfill,11280.9
2013,United Kingdom,Landfill,10532.85
2014,United Kingdom,Landfill,8706.09
2015,United Kingdom,Landfill,7217.26
2016,United Kingdom,Landfill,6267.48
2017,United Kingdom,Landfill,5227.92
2000,United States,Municipal waste generated,220854
2001,United States,Municipal waste generated,218450
2002,United States,Municipal waste generated,222560
2003,United States,Municipal waste generated,223548
2004,United States,Municipal waste generated,230534
2005,United States,Municipal waste generated,230180
2006,United States,Municipal waste generated,233237
2007,United States,Municipal waste generated,232693
2008,United States,Municipal waste generated,229200
2009,United States,Municipal waste generated,222188
2010,United States,Municipal waste generated,227749
2011,United States,Municipal waste generated,227876
2012,United States,Municipal waste generated,228465
2013,United States,Municipal waste generated,231350
2014,United States,Municipal waste generated,234471
2015,United States,Municipal waste generated,238045.28
2000,United States,Waste from households,132512
2001,United States,Waste from households,131070
2002,United States,Waste from households,133536
2003,United States,Waste from households,134129
2004,United States,Waste from households,138320
2005,United States,Waste from households,138108
2006,United States,Waste from households,139942
2007,United States,Waste from households,139616
2008,United States,Waste from households,137520
2009,United States,Waste from households,133313
2010,United States,Waste from households,136649
2000,United States,Other municipal waste,88342
2001,United States,Other municipal waste,87380
2002,United States,Other municipal waste,89024
2003,United States,Other municipal waste,89419
2004,United States,Other municipal waste,92214
2005,United States,Other municipal waste,92072
2006,United States,Other municipal waste,93295
2007,United States,Other municipal waste,93077
2008,United States,Other municipal waste,91680
2009,United States,Other municipal waste,88875
2010,United States,Other municipal waste,91100
2000,United States,Municipal waste treated,220854
2001,United States,Municipal waste treated,218450
2002,United States,Municipal waste treated,222560.12
2003,United States,Municipal waste treated,223549
2004,United States,Municipal waste treated,230533
2005,United States,Municipal waste treated,230180
2006,United States,Municipal waste treated,233237
2007,United States,Municipal waste treated,232693
2008,United States,Municipal waste treated,229201
2009,United States,Municipal waste treated,222188
2010,United States,Municipal waste treated,227749
2011,United States,Municipal waste treated,227876
2012,United States,Municipal waste treated,228466
2013,United States,Municipal waste treated,231350
2014,United States,Municipal waste treated,234471
2015,United States,Municipal waste treated,238045.28
2000,United States,Recycling,48090
2001,United States,Recycling,48199
2002,United States,Recycling,49197
2003,United States,Recycling,50839
2004,United States,Recycling,52707
2005,United States,Recycling,53742
2006,United States,Recycling,56118
2007,United States,Recycling,57243
2008,United States,Recycling,56209
2009,United States,Recycling,56273
2010,United States,Recycling,59203
2011,United States,Recycling,60500
2012,United States,Recycling,59475
2013,United States,Recycling,59076
2014,United States,Recycling,60219
2015,United States,Recycling,61507.13
2000,United States,Landfill,127242
2001,United States,Landfill,124756
2002,United States,Landfill,127922
2003,United States,Landfill,125373
2004,United States,Landfill,130671
2005,United States,Landfill,129083
2006,United States,Landfill,129283
2007,United States,Landfill,126752
2008,United States,Landfill,124321
2009,United States,Landfill,120774
2010,United States,Landfill,123658
2011,United States,Landfill,119721
2012,United States,Landfill,120157
2013,United States,Landfill,121835
2014,United States,Landfill,123305
2015,United States,Landfill,124919.34
2000,Brazil,Municipal waste generated,57563
2001,Brazil,Municipal waste generated,55677
2002,Brazil,Municipal waste generated,56524
2003,Brazil,Municipal waste generated,57587
2004,Brazil,Municipal waste generated,59214
2005,Brazil,Municipal waste generated,60142
2007,Brazil,Municipal waste generated,51432
2009,Brazil,Municipal waste generated,53000
2010,Brazil,Municipal waste generated,53000
2011,Brazil,Municipal waste generated,53000
2012,Brazil,Municipal waste generated,57900
2000,Brazil,Municipal waste treated,57563
2000,Brazil,Recycling,821
2000,Brazil,Landfill,36094
2010,Brazil,Landfill,19294
2011,Brazil,Landfill,25463
2012,Brazil,Landfill,30081
2000,Chile,Municipal waste generated,4520.3
2001,Chile,Municipal waste generated,4514.7
2002,Chile,Municipal waste generated,4647.1
2003,Chile,Municipal waste generated,4802.3
2004,Chile,Municipal waste generated,4964.1
2005,Chile,Municipal waste generated,5113.7
2006,Chile,Municipal waste generated,5310.9
2007,Chile,Municipal waste generated,5492.9
2008,Chile,Municipal waste generated,5608
2009,Chile,Municipal waste generated,5779.5
2010,Chile,Municipal waste generated,5935.7
2011,Chile,Municipal waste generated,6142.4
2014,Chile,Municipal waste generated,7242.19
2015,Chile,Municipal waste generated,7453.171
2016,Chile,Municipal waste generated,7495.539
2000,Chile,Municipal waste treated,4520.3
2001,Chile,Municipal waste treated,4514.7
2002,Chile,Municipal waste treated,4647.1
2003,Chile,Municipal waste treated,4802.3
2004,Chile,Municipal waste treated,4964.1
2005,Chile,Municipal waste treated,5113.7
2006,Chile,Municipal waste treated,5310.9
2007,Chile,Municipal waste treated,5492.9
2008,Chile,Municipal waste treated,5608
2009,Chile,Municipal waste treated,5779.5
2010,Chile,Municipal waste treated,5935.7
2011,Chile,Municipal waste treated,6142.4
2014,Chile,Municipal waste treated,7242.19
2015,Chile,Municipal waste treated,7453.171
2016,Chile,Municipal waste treated,7495.539
2000,Chile,Landfill,4520.3
2001,Chile,Landfill,4514.7
2002,Chile,Landfill,4647.1
2003,Chile,Landfill,4802.3
2004,Chile,Landfill,4964.1
2005,Chile,Landfill,5113.7
2007,Chile,Landfill,5492.9
2008,Chile,Landfill,5608
2009,Chile,Landfill,5779.5
2010,Chile,Landfill,5935.7
2011,Chile,Landfill,6142.4
2014,Chile,Landfill,7242.19
2015,Chile,Landfill,7453.171
2016,Chile,Landfill,7495.539
2000,China (People's Republic of),Municipal waste generated,118190
2001,China (People's Republic of),Municipal waste generated,134700
2002,China (People's Republic of),Municipal waste generated,136500
2003,China (People's Republic of),Municipal waste generated,148570
2004,China (People's Republic of),Municipal waste generated,155090
2005,China (People's Republic of),Municipal waste generated,155770
2006,China (People's Republic of),Municipal waste generated,148410
2007,China (People's Republic of),Municipal waste generated,152150
2008,China (People's Republic of),Municipal waste generated,154380
2009,China (People's Republic of),Municipal waste generated,157340
2010,China (People's Republic of),Municipal waste generated,158048
2011,China (People's Republic of),Municipal waste generated,163953
2012,China (People's Republic of),Municipal waste generated,170809
2000,China (People's Republic of),Municipal waste treated,72550
2001,China (People's Republic of),Municipal waste treated,78400
2002,China (People's Republic of),Municipal waste treated,74040
2003,China (People's Republic of),Municipal waste treated,75450
2004,China (People's Republic of),Municipal waste treated,80890
2005,China (People's Republic of),Municipal waste treated,80510
2006,China (People's Republic of),Municipal waste treated,78730
2007,China (People's Republic of),Municipal waste treated,94377
2008,China (People's Republic of),Municipal waste treated,103066
2009,China (People's Republic of),Municipal waste treated,112323
2010,China (People's Republic of),Municipal waste treated,123178
2011,China (People's Republic of),Municipal waste treated,130896
2012,China (People's Republic of),Municipal waste treated,144895
2001,China (People's Republic of),Landfill,69765
2002,China (People's Republic of),Landfill,66120
2003,China (People's Republic of),Landfill,64040
2004,China (People's Republic of),Landfill,68889
2005,China (People's Republic of),Landfill,68571
2006,China (People's Republic of),Landfill,64082
2007,China (People's Republic of),Landfill,76327
2008,China (People's Republic of),Landfill,84240
2009,China (People's Republic of),Landfill,88986
2010,China (People's Republic of),Landfill,95983
2011,China (People's Republic of),Landfill,100637
2012,China (People's Republic of),Landfill,105125
2000,Estonia,Municipal waste generated,633
2001,Estonia,Municipal waste generated,508.53
2002,Estonia,Municipal waste generated,553.24
2003,Estonia,Municipal waste generated,566.8
2004,Estonia,Municipal waste generated,606.2
2005,Estonia,Municipal waste generated,587.19
2006,Estonia,Municipal waste generated,536
2007,Estonia,Municipal waste generated,602
2008,Estonia,Municipal waste generated,524
2009,Estonia,Municipal waste generated,452
2010,Estonia,Municipal waste generated,406
2011,Estonia,Municipal waste generated,399
2012,Estonia,Municipal waste generated,371
2013,Estonia,Municipal waste generated,386.29
2014,Estonia,Municipal waste generated,469.55
2015,Estonia,Municipal waste generated,472.55
2016,Estonia,Municipal waste generated,494.36
2017,Estonia,Municipal waste generated,513.64
2004,Estonia,Waste from households,210.84
2005,Estonia,Waste from households,186.73
2006,Estonia,Waste from households,186.66
2007,Estonia,Waste from households,219.9
2008,Estonia,Waste from households,223.71
2009,Estonia,Waste from households,208.44
2010,Estonia,Waste from households,203.01
2011,Estonia,Waste from households,204.27
2012,Estonia,Waste from households,201.49
2013,Estonia,Waste from households,176.18
2014,Estonia,Waste from households,194
2015,Estonia,Waste from households,246
2016,Estonia,Waste from households,265
2017,Estonia,Waste from households,282.33
2004,Estonia,Other municipal waste,395.36
2005,Estonia,Other municipal waste,400.46
2006,Estonia,Other municipal waste,349.34
2007,Estonia,Other municipal waste,382.1
2008,Estonia,Other municipal waste,300.29
2009,Estonia,Other municipal waste,243.56
2010,Estonia,Other municipal waste,202.99
2011,Estonia,Other municipal waste,194.73
2012,Estonia,Other municipal waste,169.51
2013,Estonia,Other municipal waste,210.12
2014,Estonia,Other municipal waste,275.55
2015,Estonia,Other municipal waste,226.55
2016,Estonia,Other municipal waste,229.36
2017,Estonia,Other municipal waste,231.31
2000,Estonia,Municipal waste treated,615.51
2001,Estonia,Municipal waste treated,429.82
2002,Estonia,Municipal waste treated,434.28
2003,Estonia,Municipal waste treated,456.22
2004,Estonia,Municipal waste treated,533.62
2005,Estonia,Municipal waste treated,502.47
2006,Estonia,Municipal waste treated,467.39
2007,Estonia,Municipal waste treated,530.85
2008,Estonia,Municipal waste treated,439.52
2009,Estonia,Municipal waste treated,382.58
2010,Estonia,Municipal waste treated,340.28
2011,Estonia,Municipal waste treated,339.5
2012,Estonia,Municipal waste treated,284.25
2013,Estonia,Municipal waste treated,355.66
2014,Estonia,Municipal waste treated,426.74
2015,Estonia,Municipal waste treated,434.25
2016,Estonia,Municipal waste treated,452.52
2017,Estonia,Municipal waste treated,491.96
2000,Estonia,Recycling,12.8
2001,Estonia,Recycling,15.31
2002,Estonia,Recycling,10.61
2003,Estonia,Recycling,76.82
2004,Estonia,Recycling,142.25
2005,Estonia,Recycling,121.46
2006,Estonia,Recycling,70.27
2007,Estonia,Recycling,122.35
2008,Estonia,Recycling,77.51
2009,Estonia,Recycling,51.83
2010,Estonia,Recycling,40.66
2011,Estonia,Recycling,58.17
2012,Estonia,Recycling,52.39
2013,Estonia,Recycling,48.86
2014,Estonia,Recycling,124.6
2015,Estonia,Recycling,117.39
2016,Estonia,Recycling,124.59
2017,Estonia,Recycling,126.53
2000,Estonia,Landfill,601.06
2001,Estonia,Landfill,402.96
2002,Estonia,Landfill,419.25
2003,Estonia,Landfill,371.31
2004,Estonia,Landfill,383
2005,Estonia,Landfill,369.4
2006,Estonia,Landfill,373.27
2007,Estonia,Landfill,390.12
2008,Estonia,Landfill,333
2009,Estonia,Landfill,287
2010,Estonia,Landfill,267
2011,Estonia,Landfill,239.01
2012,Estonia,Landfill,129
2013,Estonia,Landfill,52.73
2014,Estonia,Landfill,30.33
2015,Estonia,Landfill,34.54
2016,Estonia,Landfill,50.64
2017,Estonia,Landfill,98.43
2001,Indonesia,Municipal waste generated,4726.108
2002,Indonesia,Municipal waste generated,4859.61
2003,Indonesia,Municipal waste generated,5470.788
2004,Indonesia,Municipal waste generated,6044.45
2005,Indonesia,Municipal waste generated,6044.45
2006,Indonesia,Municipal waste generated,5256.52
2007,Indonesia,Municipal waste generated,7576.772
2008,Indonesia,Municipal waste generated,7576.772
2009,Indonesia,Municipal waste generated,6866.198
2010,Indonesia,Municipal waste generated,7245.246
2011,Indonesia,Municipal waste generated,7742.343
2012,Indonesia,Municipal waste generated,7650.389
2000,Israel,Municipal waste generated,3967.58
2001,Israel,Municipal waste generated,3590.481
2002,Israel,Municipal waste generated,3855.364
2003,Israel,Municipal waste generated,3846.939
2004,Israel,Municipal waste generated,3978
2005,Israel,Municipal waste generated,4086
2006,Israel,Municipal waste generated,4227
2007,Israel,Municipal waste generated,4304
2008,Israel,Municipal waste generated,4434
2009,Israel,Municipal waste generated,4550.8
2010,Israel,Municipal waste generated,4623.18
2011,Israel,Municipal waste generated,4745.8
2012,Israel,Municipal waste generated,4837.4
2013,Israel,Municipal waste generated,4861.886
2014,Israel,Municipal waste generated,4955.262
2015,Israel,Municipal waste generated,5081.651
2016,Israel,Municipal waste generated,5261.411
2017,Israel,Municipal waste generated,5434.653
2004,Israel,Municipal waste treated,3978
2005,Israel,Municipal waste treated,4086
2006,Israel,Municipal waste treated,4227
2007,Israel,Municipal waste treated,4304
2008,Israel,Municipal waste treated,4434
2009,Israel,Municipal waste treated,4550.8
2010,Israel,Municipal waste treated,4623.18
2011,Israel,Municipal waste treated,4745.8
2012,Israel,Municipal waste treated,4837.4
2013,Israel,Municipal waste treated,4861.886
2014,Israel,Municipal waste treated,4955.262
2015,Israel,Municipal waste treated,5081.651
2016,Israel,Municipal waste treated,5261.411
2017,Israel,Municipal waste treated,5434.653
2004,Israel,Landfill,3500.64
2005,Israel,Landfill,3636.54
2006,Israel,Landfill,3719.76
2007,Israel,Landfill,3787.52
2008,Israel,Landfill,3857.58
2009,Israel,Landfill,3959.2
2010,Israel,Landfill,4114.63
2011,Israel,Landfill,4128.835
2012,Israel,Landfill,3981.7
2013,Israel,Landfill,3982.432
2014,Israel,Landfill,4054.054
2015,Israel,Landfill,4112.908
2016,Israel,Landfill,4188.841
2017,Israel,Landfill,4217.051
2000,Russia,Municipal waste generated,51828.63
2001,Russia,Municipal waste generated,51115.2
2002,Russia,Municipal waste generated,54010.5
2003,Russia,Municipal waste generated,55068.43
2004,Russia,Municipal waste generated,57822.48
2005,Russia,Municipal waste generated,57695.05
2006,Russia,Municipal waste generated,60847.25
2007,Russia,Municipal waste generated,62868.18
2008,Russia,Municipal waste generated,64605.13
2009,Russia,Municipal waste generated,66871.68
2010,Russia,Municipal waste generated,69256.63
2011,Russia,Municipal waste generated,69198.28
2012,Russia,Municipal waste generated,80564.33
2000,Slovenia,Municipal waste generated,1020
2001,Slovenia,Municipal waste generated,952.68
2002,Slovenia,Municipal waste generated,812.06
2003,Slovenia,Municipal waste generated,834.02
2004,Slovenia,Municipal waste generated,969.21
2005,Slovenia,Municipal waste generated,988.73
2006,Slovenia,Municipal waste generated,1036.47
2007,Slovenia,Municipal waste generated,1060.09
2008,Slovenia,Municipal waste generated,1094.76
2009,Slovenia,Municipal waste generated,1069.35
2010,Slovenia,Municipal waste generated,1003.9
2011,Slovenia,Municipal waste generated,852.12
2012,Slovenia,Municipal waste generated,744.01
2013,Slovenia,Municipal waste generated,853.39
2014,Slovenia,Municipal waste generated,891.71
2015,Slovenia,Municipal waste generated,925.94
2016,Slovenia,Municipal waste generated,942.84
2017,Slovenia,Municipal waste generated,974.1
2002,Slovenia,Waste from households,552.7
2003,Slovenia,Waste from households,565.9
2004,Slovenia,Waste from households,587.7
2005,Slovenia,Waste from households,608.5
2006,Slovenia,Waste from households,623.2
2007,Slovenia,Waste from households,653.1
2008,Slovenia,Waste from households,643.4
2009,Slovenia,Waste from households,637.8
2010,Slovenia,Waste from households,796.41
2011,Slovenia,Waste from households,721.72
2012,Slovenia,Waste from households,671.84
2013,Slovenia,Waste from households,535.74
2014,Slovenia,Waste from households,542.03
2015,Slovenia,Waste from households,547.47
2016,Slovenia,Waste from households,549.19
2017,Slovenia,Waste from households,580.1
2002,Slovenia,Other municipal waste,259.4
2003,Slovenia,Other municipal waste,268.1
2004,Slovenia,Other municipal waste,381.5
2005,Slovenia,Other municipal waste,380.2
2006,Slovenia,Other municipal waste,413.3
2007,Slovenia,Other municipal waste,407
2008,Slovenia,Other municipal waste,451.4
2009,Slovenia,Other municipal waste,431.6
2010,Slovenia,Other municipal waste,207.49
2011,Slovenia,Other municipal waste,130.4
2012,Slovenia,Other municipal waste,72.17
2013,Slovenia,Other municipal waste,317.66
2014,Slovenia,Other municipal waste,349.68
2015,Slovenia,Other municipal waste,378.47
2016,Slovenia,Other municipal waste,393.64
2017,Slovenia,Other municipal waste,393.99
2000,Slovenia,Municipal waste treated,860.94
2001,Slovenia,Municipal waste treated,738.02
2002,Slovenia,Municipal waste treated,791.07
2003,Slovenia,Municipal waste treated,803.72
2004,Slovenia,Municipal waste treated,837.89
2005,Slovenia,Municipal waste treated,843.75
2006,Slovenia,Municipal waste treated,886.21
2007,Slovenia,Municipal waste treated,919.97
2008,Slovenia,Municipal waste treated,904.97
2009,Slovenia,Municipal waste treated,851.1
2010,Slovenia,Municipal waste treated,948.13
2011,Slovenia,Municipal waste treated,838.72
2012,Slovenia,Municipal waste treated,713.76
2013,Slovenia,Municipal waste treated,830.35
2014,Slovenia,Municipal waste treated,863.69
2015,Slovenia,Municipal waste treated,868.66
2016,Slovenia,Municipal waste treated,789.86
2017,Slovenia,Municipal waste treated,772.54
2000,Slovenia,Recycling,46.94
2001,Slovenia,Recycling,13.95
2002,Slovenia,Recycling,62.17
2003,Slovenia,Recycling,92.08
2004,Slovenia,Recycling,182.65
2005,Slovenia,Recycling,168.63
2006,Slovenia,Recycling,145.46
2007,Slovenia,Recycling,216.9
2008,Slovenia,Recycling,189.87
2009,Slovenia,Recycling,189.14
2010,Slovenia,Recycling,203.21
2011,Slovenia,Recycling,258.3
2012,Slovenia,Recycling,270.24
2013,Slovenia,Recycling,239.05
2014,Slovenia,Recycling,258.82
2015,Slovenia,Recycling,430.04
2016,Slovenia,Recycling,379.72
2017,Slovenia,Recycling,411.74
2000,Slovenia,Landfill,800
2001,Slovenia,Landfill,712.3
2002,Slovenia,Landfill,712.83
2003,Slovenia,Landfill,693.53
2004,Slovenia,Landfill,624.92
2005,Slovenia,Landfill,658.57
2006,Slovenia,Landfill,725.23
2007,Slovenia,Landfill,687.61
2008,Slovenia,Landfill,684.72
2009,Slovenia,Landfill,627.69
2010,Slovenia,Landfill,571.28
2011,Slovenia,Landfill,481.19
2012,Slovenia,Landfill,316.41
2013,Slovenia,Landfill,224
2014,Slovenia,Landfill,207.68
2015,Slovenia,Landfill,209.77
2016,Slovenia,Landfill,78.46
2017,Slovenia,Landfill,99.19
2013,Israel,Recycling,353.621
2014,Israel,Recycling,379.852
2015,Israel,Recycling,368.307
2016,Israel,Recycling,368.982
2017,Israel,Recycling,393.589
2000,OECD - Total,Municipal waste generated,645742.938
2001,OECD - Total,Municipal waste generated,644231.813
2002,OECD - Total,Municipal waste generated,652542.5
2003,OECD - Total,Municipal waste generated,651249.563
2004,OECD - Total,Municipal waste generated,659091.25
2005,OECD - Total,Municipal waste generated,662512.438
2006,OECD - Total,Municipal waste generated,669256.75
2007,OECD - Total,Municipal waste generated,672020.438
2008,OECD - Total,Municipal waste generated,664991.188
2009,OECD - Total,Municipal waste generated,655200.25
2010,OECD - Total,Municipal waste generated,660072
2011,OECD - Total,Municipal waste generated,660653.313
2012,OECD - Total,Municipal waste generated,657994.688
2013,OECD - Total,Municipal waste generated,658551.13
2014,OECD - Total,Municipal waste generated,663402.44
2015,OECD - Total,Municipal waste generated,666755.81
2016,OECD - Total,Municipal waste generated,675209.88
2017,OECD - Total,Municipal waste generated,675760
2000,OECD - Europe,Municipal waste generated,277343.813
2001,OECD - Europe,Municipal waste generated,276948.281
2002,OECD - Europe,Municipal waste generated,279713.125
2003,OECD - Europe,Municipal waste generated,275759.938
2004,OECD - Europe,Municipal waste generated,275323.469
2005,OECD - Europe,Municipal waste generated,278927.813
2006,OECD - Europe,Municipal waste generated,281918.906
2007,OECD - Europe,Municipal waste generated,284888.156
2008,OECD - Europe,Municipal waste generated,282150.438
