Country,Year,Variable,Unit,Value
Czech Republic,2011,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,80.6
Czech Republic,2012,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,78.1
Czech Republic,2013,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,80
Czech Republic,2014,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,79.9
Czech Republic,2015,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,80.8
Czech Republic,2016,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,81.3
Czech Republic,2017,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,82.3
Denmark,1970,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,88
Denmark,2000,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Denmark,2010,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100.1
Denmark,2011,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100.1
Denmark,2012,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Denmark,2013,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Denmark,2014,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Denmark,2015,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,91.15000153
Denmark,2016,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,91.84
Denmark,2017,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,91.9
Finland,1970,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,53
Finland,1980,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,69
Finland,2000,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Finland,2010,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Finland,2011,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Finland,2012,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Finland,2013,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Finland,2014,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
France,2010,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
France,2011,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
France,2012,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
France,2013,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
France,2014,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,98
France,2015,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
France,2016,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
France,2017,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Germany,2005,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,97.3
Germany,2010,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Germany,2011,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Germany,2012,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,99.99
Germany,2013,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,99.99
Germany,2014,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Germany,2015,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Germany,2016,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Greece,2000,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,85
Greece,2005,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,91
Greece,2010,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,87.4
Greece,2011,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,88.2
Greece,2012,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,92.04
Greece,2013,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,92.8
Greece,2014,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,92.8
Greece,2015,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,93.4
Greece,2016,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,93.4
Hungary,1970,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,21
Hungary,1980,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,36
Hungary,2000,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,63.7
Hungary,2005,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,60.6
Hungary,2010,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,71.8
Hungary,2011,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,72.5
Hungary,2012,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,72.93918765
Hungary,2013,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,72.76
Hungary,2014,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,73.6
Hungary,2015,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,76.59
Hungary,2016,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,78.18
Hungary,2017,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,79.3
Iceland,2000,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,90
Iceland,2005,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,89
Iceland,2010,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,91
Ireland,1980,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,11.19999981
Ireland,2005,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,83
Ireland,2011,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,96
Ireland,2012,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,92.92
Ireland,2013,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,93.12
Ireland,2014,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,93.33
Ireland,2015,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,93.53
Ireland,2016,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,93.74
Ireland,2017,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,93.74
Japan,1980,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,30
Japan,2000,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,62
Japan,2005,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,69.25640106
Japan,2010,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,75.09999847
Japan,2011,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,75.80000305
Japan,2012,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,76.3
Japan,2013,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,77
Japan,2014,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,77.6
Japan,2015,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,77.8
Japan,2016,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,78.3
Korea,2000,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,70.5
Korea,2005,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,83.5
Korea,2010,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,90.09999847
Korea,2011,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,90.90000153
Korea,2012,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,91.59999847
Korea,2013,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,92.11
Korea,2014,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,92.54
Korea,2015,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,92.89
Korea,2016,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,93.22
Luxembourg,2000,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,99.9
Luxembourg,2005,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,99.9
Luxembourg,2010,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,98.7
Luxembourg,2011,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Luxembourg,2012,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Luxembourg,2013,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Luxembourg,2014,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,98.5
Luxembourg,2015,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,98.5
Luxembourg,2016,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,98.5
Luxembourg,2017,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Mexico,2000,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,59.2
Mexico,2005,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,67.6
Mexico,2010,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,70.57
Netherlands,1970,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Netherlands,1980,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,85.90000153
Netherlands,2000,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Netherlands,2005,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Netherlands,2010,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Netherlands,2011,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Netherlands,2012,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Netherlands,2013,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Netherlands,2014,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Netherlands,2015,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Netherlands,2016,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Netherlands,2017,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Norway,1970,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,85
Norway,1980,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,80
Norway,2000,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,94.1
Norway,2005,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,95.7
Norway,2010,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,97.4
Norway,2011,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,97.5
Norway,2012,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,97.7
Norway,2013,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,97.6
Norway,2014,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,97.5
Norway,2015,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,98.9
Norway,2016,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,99.4
Norway,2017,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,98.9
Poland,2000,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,53.6
Poland,2005,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,85.8
Poland,2010,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,89.8
Poland,2011,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,90.7
Poland,2012,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,93.8
Poland,2013,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,95.2
Poland,2014,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,93.8
Poland,2015,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,94.2
Poland,2016,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,94.79
Poland,2017,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,94.96
Portugal,1980,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,35.29999924
Portugal,2005,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,79
Portugal,2017,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,91.8
Slovak Republic,1980,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,40.59999847
Slovak Republic,2000,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,54.70000076
Slovak Republic,2005,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,85.4
Slovak Republic,2010,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,86.6
Slovak Republic,2011,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,86.9
Slovak Republic,2012,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,87
Slovak Republic,2013,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,87.4
Slovak Republic,2014,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,87.7
Slovak Republic,2015,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,88.3
Slovak Republic,2016,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,88.7
Slovak Republic,2017,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,88.9
Spain,2000,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Spain,2005,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Spain,2010,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,98
Spain,2011,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Spain,2012,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,98.7
Spain,2013,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Spain,2014,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,98.4
Spain,2015,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Spain,2016,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Sweden,1970,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Sweden,1980,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Sweden,2000,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,99
Sweden,2005,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Sweden,2010,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Sweden,2011,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Sweden,2012,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Sweden,2013,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Sweden,2014,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Sweden,2015,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Sweden,2016,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Sweden,2017,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Switzerland,2000,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,98.2
Switzerland,2005,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,99
Switzerland,2010,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,99.7
Switzerland,2012,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,99.2
Switzerland,2013,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,99.7
Turkey,2000,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,26.3
Turkey,2005,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,42.1
Turkey,2010,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,52.1
Turkey,2012,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,58.3
Turkey,2013,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,63.7
Turkey,2014,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,64.1
Turkey,2015,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,69.92
Turkey,2016,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,70.7
United Kingdom,2000,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,98
United Kingdom,2005,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
United Kingdom,2010,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,99.5
United States,2000,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,75.40000153
United States,2012,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,75.5
Chile,2000,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,93.30000305
Chile,2005,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,94.98000336
Chile,2010,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,95.9
Chile,2011,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,96.14
Chile,2012,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,100
Chile,2013,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,99.93
Chile,2014,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,99.93
Chile,2015,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,99.85
Chile,2016,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,99.93
Chile,2017,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,99.97
Estonia,2000,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,70
Estonia,2005,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Percentage,79
